ProductId,Gender,Category,SubCategory,ProductType,Colour,Usage,ProductTitle,Image,ImageURL
10097,Men,Footwear,Shoes,Sports Shoes,White,Sports,Reebok Men Reeflex Run White Sports Shoes,10097.jpg,http://assets.myntassets.com/v1/images/style/properties/a947ceec9e8c493229417e1a1390417e_images.jpg
43350,Men,Footwear,Shoes,Sports Shoes,Black,Sports,Reebok Men Black Fuel Extreme Sports Shoes,43350.jpg,http://assets.myntassets.com/v1/images/style/properties/8735e7bb7c0f6bba6ba42c2249a56817_images.jpg
16152,Men,Footwear,Shoes,Formal Shoes,Brown,Formal,Enroute Men Leather Brown Formal Shoes,16152.jpg,http://assets.myntassets.com/v1/images/style/properties/2ba5a829cc364c32b327839a47f43e8e_images.jpg
50747,Men,Footwear,Shoes,Casual Shoes,Mushroom Brown,Casual,Red Chief Men Mushroom Brown Shoes,50747.jpg,http://assets.myntassets.com/v1/images/style/properties/7a499301c721666d3243360e3e437091_images.jpg
36131,Men,Footwear,Shoes,Casual Shoes,Maroon,Casual,Nike Men Dunk High Maroon Shoes,36131.jpg,http://assets.myntassets.com/v1/images/style/properties/619f32e4177a1dc98bdf266cefb0f4c8_images.jpg
39945,Men,Footwear,Shoes,Casual Shoes,Brown,Casual,GAS Men Brown Namib Shoes,39945.jpg,http://assets.myntassets.com/v1/images/style/properties/9791ef9c6d02e740a8420299b8f02662_images.jpg
21186,Men,Footwear,Flip Flops,Flip Flops,Blue,Casual,ADIDAS Men Star Story Blue Flip Flops,21186.jpg,http://assets.myntassets.com/v1/images/style/properties/e62c55a04b18b09939898571a2cc9258_images.jpg
44511,Men,Footwear,Sandal,Sandals,Black,Casual,Coolers Men Black Sandals,44511.jpg,http://assets.myntassets.com/v1/images/style/properties/cb019afbcebf61a9fae59ba48f0a6ee3_images.jpg
20868,Men,Footwear,Shoes,Casual Shoes,White,Casual,Fila Men Stradd White Casual Shoes,20868.jpg,http://assets.myntassets.com/v1/images/style/properties/4f9f3dde2d270ae1611ea25b98f805d9_images.jpg
22703,Men,Footwear,Shoes,Casual Shoes,Grey,Casual,Nike Men Capri II Mid Grey Casual Shoes,22703.jpg,http://assets.myntassets.com/v1/images/style/properties/f06b700ed9a5c0fb40e3d8c49d2b4efd_images.jpg
35586,Men,Footwear,Sandal,Sandals,Brown,Casual,Gliders Men Brown Sandals,35586.jpg,http://assets.myntassets.com/v1/images/style/properties/Gliders-Men-Sandals_4a43911cb2cbea8fe371e01243a0edbe_images.jpg
5404,Men,Footwear,Shoes,Sports Shoes,White,Sports,Kalenji Kiprun 1000 Whi/ Blue 2011,5404.jpg,http://assets.myntassets.com/v1/images/style/properties/fa523afb4c2f1ee300b0b0267e0e0dd9_images.jpg
11941,Men,Footwear,Sandal,Sandals,Tan,Casual,Ganuchi Men Casual Tan Sandals,11941.jpg,http://assets.myntassets.com/v1/images/style/properties/a595f061ad81d715cccb4cf4d6a5fe9d_images.jpg
42088,Men,Footwear,Shoes,Sports Shoes,Brown,Sports,ADIDAS Men Brown Zapotec Shoes,42088.jpg,http://assets.myntassets.com/v1/images/style/properties/2b2ccb96bc63978df5e2048b9c3e1958_images.jpg
19310,Men,Footwear,Shoes,Sports Shoes,White,Sports,Nike Men Lunarglide+ 3 White Sports Shoe,19310.jpg,http://assets.myntassets.com/v1/images/style/properties/f9224900952588d6eb8c8dbd8bc6410e_images.jpg
19122,Men,Footwear,Flip Flops,Flip Flops,White,Casual,Lotto Men XL Water Man White Slippers,19122.jpg,http://assets.myntassets.com/v1/images/style/properties/15e0953c017540f7644199f7181db74f_images.jpg
43368,Men,Footwear,Flip Flops,Flip Flops,Blue,Casual,Reebok Men Blue Possession Flip Flops,43368.jpg,http://assets.myntassets.com/v1/images/style/properties/f07545fc41f9696be5a669176a6cdff9_images.jpg
18494,Men,Footwear,Shoes,Sports Shoes,White,Sports,Puma Men Daemon White Sports Shoes,18494.jpg,http://assets.myntassets.com/v1/images/style/properties/cbd54b9ca8c62d49c2c2cb8152777864_images.jpg
41867,Men,Footwear,Sandal,Sandals,Red,Casual,Estd. 1977 Men Red & Brown Sandals,41867.jpg,http://assets.myntassets.com/v1/images/style/properties/43db177ea76d2f7a1c6ba451fa94200a_images.jpg
